SID,Provider/Channel,Compression,VPID,system_alt,sr_alt,fec_alt,freq_alt,beam_alt,eirp_alt,encryption_alt,Provider_URL,Channel,Channel_URL,Pkg_Name,Pkg_URL,is_Provider,Provider,Languages,Channel_Country,Provider_Country
732.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
732.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
732.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
732.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
732.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
732.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
732.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
732.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
732.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
732.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
732.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
732.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
732.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
764.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
764.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
764.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
764.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
764.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
764.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
764.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
764.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
764.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
764.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
764.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
764.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
764.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
764.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
764.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
764.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
764.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
764.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
764.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
764.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
764.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
764.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
764.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
764.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
748.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
748.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
748.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
748.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
748.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
748.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
748.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
748.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
748.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
748.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
748.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
748.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
748.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
748.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
748.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
748.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
748.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
748.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
748.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
748.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
748.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
748.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
748.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
748.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
700.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
700.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
700.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
700.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
700.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
700.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
700.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
700.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
700.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
700.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
700.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
700.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
700.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
700.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
700.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
700.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
700.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
700.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
700.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
700.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
700.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
700.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
700.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
700.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
716.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
716.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
716.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
716.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
716.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
716.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
716.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
716.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
716.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
716.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
716.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
716.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
716.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
716.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
716.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
716.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
716.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
716.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
716.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
716.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
716.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
716.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
716.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
716.0,ABC Country,,,DVB-S2,22500,3/4,12470 H,tp 12,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
684.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
684.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
684.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
684.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
684.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
684.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
684.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
684.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
684.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
684.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
684.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
684.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
684.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
684.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
684.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
684.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
684.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
684.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
684.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
684.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
684.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
684.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
684.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
684.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
732.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
732.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
732.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
732.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
732.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
732.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
732.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
732.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
732.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
732.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
732.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
732.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
732.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
732.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
732.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
732.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
732.0,ABC Country,,,DVB-S2,7200,3/4,12658 H,tp 15,,,,ABC Country,https://www.lyngsat.com/radiochannels/au/ABC-Country.html,,,False,ABC NSW,Eng,au,
